temp,hum
2021-1-1-3-40,28.3,66.5
2021-1-1-3-41,28.3,66.70001
2021-1-1-3-42,28.3,67.1
2021-1-1-3-43,28.3,67.5
2021-1-1-3-44,28.5,67.3
2021-1-1-3-45,28.5,66.70001
2021-1-1-3-46,28.6,66.0
2021-1-1-3-47,28.6,65.5
2021-1-1-3-48,28.5,66.0
2021-1-1-3-49,28.5,65.9
2021-1-1-3-50,28.5,65.5
2021-1-1-3-51,28.5,66.0
2021-1-1-3-52,28.5,66.5
2021-1-1-3-53,28.5,65.8
2021-1-1-3-54,28.5,66.5
2021-1-1-3-55,28.5,66.0
2021-1-1-3-56,28.5,66.0
2021-1-1-3-57,28.4,66.9
2021-1-1-3-58,28.5,66.5
2021-1-1-3-59,28.5,66.9
2021-1-1-4-0,28.6,66.70001
2021-1-1-4-1,28.7,66.30001
2021-1-1-4-2,28.7,65.70001
2021-1-1-4-3,28.8,66.0
2021-1-1-4-4,28.9,65.5
2021-1-1-4-5,28.9,65.1
2021-1-1-4-6,28.9,65.3
2021-1-1-4-7,28.9,64.9
2021-1-1-4-8,28.9,64.9
2021-1-1-4-9,28.7,65.2
2021-1-1-4-10,28.7,65.70001
2021-1-1-4-11,28.7,65.5
2021-1-1-4-12,28.7,65.5
2021-1-1-4-13,28.7,65.70001
2021-1-1-4-14,28.7,65.6
2021-1-1-4-15,28.7,65.4
2021-1-1-4-16,28.7,65.2
2021-1-1-4-17,28.6,65.1
2021-1-1-4-18,28.6,65.70001
2021-1-1-4-19,28.6,65.70001
2021-1-1-4-20,28.7,65.6
2021-1-1-4-21,28.7,65.3
2021-1-1-4-22,28.7,65.9
2021-1-1-4-23,28.7,65.6
2021-1-1-4-24,28.8,65.70001
2021-1-1-4-25,28.9,65.5
2021-1-1-4-26,28.9,65.0
2021-1-1-4-27,28.9,64.9
2021-1-1-4-28,28.9,65.0
2021-1-1-4-29,28.9,65.0
2021-1-1-4-30,28.8,65.0
2021-1-1-4-31,28.7,65.2
2021-1-1-4-32,28.7,65.6
2021-1-1-4-33,28.7,65.3
2021-1-1-4-34,28.7,65.4
2021-1-1-4-35,28.7,65.8
2021-1-1-4-36,28.7,66.0
2021-1-1-4-37,28.8,65.70001
2021-1-1-4-38,28.9,65.70001
2021-1-1-4-39,28.9,65.70001
2021-1-1-4-40,29.0,65.5
2021-1-1-4-41,29.1,64.9
2021-1-1-4-42,29.1,65.0
2021-1-1-4-43,29.2,64.8
2021-1-1-4-44,29.3,64.6
2021-1-1-4-45,29.3,64.5
2021-1-1-4-46,29.3,63.9
2021-1-1-4-47,29.3,63.8
2021-1-1-4-48,29.3,64.0
2021-1-1-4-49,29.3,64.1
2021-1-1-4-50,29.3,64.0
2021-1-1-4-51,29.3,63.8
2021-1-1-4-52,29.3,63.6
2021-1-1-4-53,29.3,63.3
2021-1-1-4-54,29.3,63.6
2021-1-1-4-55,29.3,63.8
2021-1-1-4-56,29.2,63.9
2021-1-1-4-57,29.2,63.7
2021-1-1-4-58,29.2,63.7
2021-1-1-4-59,29.1,63.5
2021-1-1-5-0,29.1,63.8
2021-1-1-5-1,29.0,64.1
2021-1-1-5-2,29.0,64.0
2021-1-1-5-3,29.0,64.5
2021-1-1-5-4,29.0,64.6
2021-1-1-5-5,29.0,64.5
2021-1-1-5-6,29.1,64.1
2021-1-1-5-7,29.1,63.9
2021-1-1-5-8,29.2,64.0
2021-1-1-5-9,29.2,63.1
2021-1-1-5-10,29.2,64.1
2021-1-1-5-11,29.3,63.8
2021-1-1-5-12,29.4,63.8
2021-1-1-5-13,29.4,63.5
2021-1-1-5-14,29.4,63.2
2021-1-1-5-15,29.5,63.4
2021-1-1-5-16,29.5,63.2
2021-1-1-5-17,29.5,62.9
2021-1-1-5-18,29.5,62.5
2021-1-1-5-19,29.5,62.3
2021-1-1-5-20,29.5,62.3
2021-1-1-5-21,29.5,62.3
2021-1-1-5-22,29.5,62.5
2021-1-1-5-23,29.5,62.6
2021-1-1-5-24,29.5,62.5
2021-1-1-5-25,29.5,62.3
2021-1-1-5-26,29.5,62.6
2021-1-1-5-27,29.5,62.5
2021-1-1-5-28,29.5,62.8
2021-1-1-5-29,29.5,62.3
2021-1-1-5-30,29.5,62.5
2021-1-1-5-31,29.4,62.5
2021-1-1-5-32,29.4,62.4
2021-1-1-5-33,29.4,62.3
2021-1-1-5-34,29.4,62.5
2021-1-1-5-35,29.4,62.0
2021-1-1-5-36,29.3,62.4
2021-1-1-5-37,29.4,62.7
